Instruction,Instruction Call Frequency
vmv.v.i,1
lui,4
vmv1r.v,256036
vredsum.vs,256036
sb,256036
vmv.x.s,256036
vmacc.vv,256036
bgtz,256036
mv,256040
sub,257048
bne,257052
li,257055
slli,258060
addi,258073
vle8.v,512072
vsetvli,512073
add,1537228

Total Instruction Calls,5640922
