Instruction,Instruction Call Frequency
lui,3
j,3
beq,4
sub,1012
sh,256036
li,257055
srai,512072
mv,513091
add,769120
slli,770132
bne,1281192
kmada,2048288
addi,2562396
lw,4096576

Total Instruction Calls,13066980
